site_name,Salinity_st_dev,salinity_quantile_10,salinity_quantile_90,Temperature_st_dev,temp_quantile_10,temp_quantile_90
LEW,2.867123523,8.7,16.6,7.857653196,7.2,28.2
S1-LOLA,2.867123523,8.7,16.6,7.857653196,7.2,28.2
S2-DEBY,2.560148766,15.81,22.39,8.075056458,6.53,27.49
W1_TX,11.66413094,5.9,36.7,6.385486691,13.8,30.5
W2_LA,5.582166837,3,18,6.691385901,13.2,30.7
W3_FL,3.715396855,27.85066428,35.97585067,5.707664316,14.559,29.279
W4_VA,2.701416475,0.1,7,8.488798068,7.5,29.5
W5_NH,8.320938367,5.9,28.6,6.449615505,7.2,24.2
W6_ME,2.277877961,26.29,31.48,5.22149722,7.563,21.5
YRK,2.796360103,15.43,22.93,7.38100145,7.984,27.393